,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,Linear R,Ransac R,Decision R,Random R
0,125,256,6000,256,16,128,198,331.498291297738,262.59513800424236,198.0,186.1980000000002
1,29,8000,32000,32,8,32,269,313.844926599291,169.93439335777714,220.33333333333331,217.08151190476192
2,29,8000,32000,32,8,32,220,313.844926599291,169.93439335777714,220.33333333333331,217.08151190476192
3,29,8000,32000,32,8,32,172,313.844926599291,169.93439335777714,220.33333333333331,217.08151190476192
4,29,8000,16000,32,8,16,132,204.8283132804888,138.7866544292377,173.0,171.06299999999993
5,26,8000,32000,64,8,32,318,333.17116741833627,190.4130177603876,318.0,319.1280952380955
6,23,16000,32000,64,16,32,367,450.49245188515613,277.23575360529446,428.0,431.533238095238
7,23,16000,32000,64,16,32,489,450.49245188515613,277.23575360529446,428.0,431.533238095238
8,23,16000,64000,64,16,32,636,621.5492914553747,333.42043232291843,636.0,742.2599999999996
9,23,32000,64000,128,32,64,1144,941.8207290944906,554.133951957408,1144.0,1035.3099999999995
10,400,1000,3000,0,1,2,38,-7.198061864406351,16.83963580978747,38.0,30.742499999999986
11,400,512,3500,4,1,6,40,-3.5803168851835134,17.62561135618859,40.0,37.36499999999999
12,60,2000,8000,65,1,8,92,82.64088541149391,75.36062825627614,92.0,88.00333333333326
13,50,4000,16000,65,1,8,138,155.49872901251453,103.4051094165015,138.0,126.6199999999998
14,350,64,64,0,1,4,10,-34.04032327882439,5.515406710637937,10.0,10.649999999999997
15,200,512,16000,0,4,32,35,97.84632657416176,53.539006451352314,35.0,41.63666666666671
16,167,524,2000,8,4,15,19,3.0648756396546286,30.915493439093908,19.0,24.59000000000003
17,143,512,5000,0,7,32,28,37.900569084257576,45.78658186278011,28.0,33.921999999999976
18,143,1000,2000,0,5,16,31,6.481956057483491,33.17208418418796,30.999999999999996,28.980000000000015
19,110,5000,5000,142,8,64,120,237.7856075320738,178.03717399198118,120.0,160.00833333333352
20,143,1500,6300,0,5,32,30,60.47932083554089,47.27687782680101,30.0,33.62
21,143,3100,6200,0,5,20,33,66.40353002838714,56.00840021316833,33.0,37.970000000000006
22,143,2300,6200,0,6,64,61,118.57695246677542,62.665110677794864,61.0,58.35999999999998
23,110,3100,6200,0,6,64,76,130.6144059501618,68.26443527012262,76.0,67.22999999999995
24,320,128,6000,0,1,12,23,10.397813506968475,17.91331036500714,23.0,27.149999999999988
25,320,512,2000,4,1,3,69,-16.002642527604912,14.419067121976061,69.0,49.38899999999997
26,320,256,6000,0,1,6,33,3.515733489175503,17.663427461131768,33.0,30.021333333333324
27,320,256,3000,4,1,3,27,-14.509101405719225,14.383054462356927,27.0,31.979999999999976
28,320,512,5000,4,1,5,77,2.969960373814684,20.06830569796924,77.0,55.65333333333333
29,320,256,5000,4,1,6,27,0.5859873549868347,18.467484301532327,27.0,34.399999999999984
30,25,1310,2620,131,12,24,274,102.64999659761837,148.76827272834478,321.0,297.9796666666666
31,25,1310,2620,131,12,24,368,102.64999659761837,148.76827272834478,321.0,297.9796666666666
32,50,2620,10480,30,12,24,32,103.37871531098672,107.10187018755872,47.5,61.398904761904795
33,50,2620,10480,30,12,24,63,103.37871531098672,107.10187018755872,47.5,61.398904761904795
34,56,5240,20970,30,12,24,106,198.87594569068943,143.85769821955319,157.0,155.19599999999986
35,64,5240,20970,30,12,24,208,198.87594569068943,143.85769821955319,157.0,155.19599999999986
36,50,500,2000,8,1,4,20,-12.299412131619246,17.085867776525415,20.0,23.963500000000018
37,50,1000,4000,8,1,5,29,7.383060864491712,24.287950539689728,29.0,29.26999999999997
38,50,2000,8000,8,1,5,71,43.81198266500203,38.31019111980241,71.0,62.70999999999994
39,50,1000,4000,8,3,5,26,6.6197482727307095,31.995323020097068,26.0,27.68000000000001
40,50,1000,8000,8,3,5,36,28.00185321900804,39.01840785980006,36.0,43.36000000000001
41,50,2000,16000,8,3,5,40,85.8128799657957,60.06373327961573,40.0,46.14666666666664
42,50,2000,16000,8,3,6,52,87.2808920616515,60.2546957527237,56.0,54.92999999999999
43,50,2000,16000,8,3,6,60,87.2808920616515,60.2546957527237,56.0,54.92999999999999
44,133,1000,12000,9,3,12,72,60.26398786187113,48.0181870238404,72.0,66.3099999999999
45,133,1000,8000,9,3,12,72,38.881882915593806,40.995102184137416,72.0,65.06999999999992
46,810,512,512,8,1,1,18,-24.477029656951014,13.984382665716916,18.0,14.440000000000003
47,810,1000,5000,0,1,1,20,2.024978512876516,20.16021575653099,20.0,23.548333333333364
48,320,512,8000,4,1,5,40,19.006539083522682,25.335619327746482,40.0,47.369999999999955
49,200,512,8000,8,1,8,62,25.826355473470752,28.46833479739669,61.99999999999999,55.90999999999996
50,700,384,8000,0,1,1,24,8.792718040377007,21.11604945021586,24.0,23.04430303030306
51,700,256,2000,0,1,1,24,-25.206431936380817,9.68553025588894,24.0,22.27033333333335
52,140,1000,16000,16,1,3,138,73.42491171637344,50.094936213235364,138.0,107.75666666666655
53,200,1000,8000,0,1,2,36,19.529569318440323,25.618491859416206,36.0,32.90833333333335
54,110,1000,4000,16,1,2,26,7.810584781685649,28.834719221018428,26.0,28.550000000000008
55,110,1000,12000,16,1,2,60,50.5747946742403,42.88088890042441,60.0,72.84
56,220,1000,8000,16,1,2,71,29.19268972796298,35.85780406072141,71.0,65.38999999999992
57,800,256,8000,0,1,4,12,11.270761770602583,20.79304493476733,16.8,16.889747474747477
58,800,256,8000,0,1,4,14,11.270761770602583,20.79304493476733,16.8,16.889747474747477
59,800,256,8000,0,1,4,20,11.270761770602583,20.79304493476733,16.8,16.889747474747477
60,800,256,8000,0,1,4,16,11.270761770602583,20.79304493476733,16.8,16.889747474747477
61,800,256,8000,0,1,4,22,11.270761770602583,20.79304493476733,16.8,16.889747474747477
62,125,512,1000,0,8,20,36,-1.479337308169842,40.325633585985166,36.0,57.071666666666665
63,75,2000,8000,64,1,38,144,126.07730326157268,80.44954543693363,144.0,125.87499999999991
64,75,2000,16000,64,1,38,144,168.84151315412737,94.4957151163396,144.0,144.94799999999984
65,75,2000,16000,128,1,38,259,207.49399479221796,135.45296392156044,259.0,226.74300000000014
66,90,256,1000,0,3,10,17,-18.103161902008967,17.35579378434225,17.0,18.709999999999994
67,105,256,2000,0,3,10,26,-12.75763566543963,19.111564994267994,26.0,25.840000000000007
68,105,1000,4000,0,3,24,32,29.680417889229552,30.503953908495866,32.0,31.082
69,105,2000,4000,8,3,19,32,42.218734468944874,41.66795338401832,32.0,31.53959523809524
70,75,2000,8000,8,3,24,62,70.9408998945012,49.64585058926115,61.99999999999999,59.05999999999997
71,75,3000,8000,8,3,48,64,121.22000704927335,61.2281056842621,64.0,63.35000000000004
72,175,256,2000,0,3,24,22,7.794533676541547,21.785039617779557,22.0,24.559999999999988
73,300,768,3000,0,6,24,36,19.699061254836657,38.685437287406074,36.0,36.280000000000015
74,300,768,3000,6,6,24,44,23.322731408407645,42.52517936289553,44.0,40.620000000000005
75,300,768,12000,6,6,24,50,71.43246753753166,58.327120252227246,50.0,59.356666666666655
76,300,768,4500,0,1,24,45,29.625632089093163,22.050662901276347,45.0,38.8066666666667
77,300,384,12000,6,1,24,53,67.5627713449087,36.371013246891586,53.0,56.64000000000006
78,300,192,768,6,6,24,36,2.7245503403467057,34.57478431586527,36.0,32.47000000000001
79,180,768,12000,6,1,31,84,83.61683368792475,40.3954263629647,84.0,71.59000000000006
80,330,1000,3000,0,2,4,16,-4.643693968575255,21.07524699620707,15.999999999999998,21.200000000000006
81,300,1000,4000,8,3,64,38,93.23246192822285,43.262108933467225,38.0,36.726333333333315
82,300,1000,16000,8,2,112,38,228.22501366401366,69.64387592155502,38.0,45.56999999999998
83,330,1000,2000,0,1,2,16,-12.543588100975683,15.08386459986172,20.5,20.300999999999995
84,330,1000,4000,0,3,6,22,3.256200163825176,27.06662939255243,22.0,23.949380952380942
85,140,2000,4000,0,3,6,29,18.303017018058153,34.06578513296212,30.999999999999996,30.32623809523809
86,140,2000,4000,0,4,8,40,20.857384913889245,38.30139631938173,40.0,38.635333333333314
87,140,2000,4000,8,1,20,35,44.45005915656167,34.15154337671895,28.5,29.08864285714285
88,140,2000,32000,32,1,20,134,208.61947439478703,98.6721055565977,134.0,138.77966666666663
89,140,2000,8000,32,1,54,66,130.23925597622016,63.026320604050696,66.0,81.95666666666672
90,140,2000,32000,32,1,54,141,258.5318856538842,105.16482964226864,164.99999999999997,167.02680952380953
91,140,2000,32000,32,1,54,189,258.5318856538842,105.16482964226864,164.99999999999997,167.02680952380953
92,140,2000,4000,8,1,20,22,44.45005915656167,34.15154337671895,28.5,29.08864285714285
93,57,4000,16000,1,6,12,132,120.81001427844457,82.48014170473085,132.0,113.73666666666657
94,57,4000,24000,64,12,16,237,205.2048713916349,160.72957051043,237.0,217.41266666666658
95,26,16000,32000,64,16,24,465,438.74835511830975,275.70805382043073,465.0,455.6249999999997
96,26,16000,32000,64,8,24,465,441.8016054853538,244.87856389880136,465.0,439.0078333333331
97,26,8000,32000,0,8,24,277,282.77458901339924,147.928069170303,277.0,237.30851190476199
98,26,8000,16000,0,8,16,185,185.5020724614435,118.30803002662728,185.0,158.30166666666676
99,480,96,512,0,1,1,6,-35.568065673073264,5.953077777053877,6.0,8.56
100,203,1000,2000,0,1,5,24,-8.139551813408286,15.656752019185625,24.0,21.275000000000013
101,115,512,6000,16,1,6,45,17.030839013381815,29.694523531981865,45.0,44.32500000000003
102,1100,512,1500,0,1,1,7,-24.027209939981844,10.59942852047095,7.0,8.600000000000003
103,1100,768,2000,0,1,1,13,-17.502461707013534,13.269097994978702,14.500000000000002,15.378166666666669
104,600,768,2000,0,1,1,16,-17.502461707013534,13.269097994978702,14.500000000000002,15.378166666666669
105,400,2000,4000,0,1,1,32,11.726269130540162,25.40360028701494,32.0,30.300000000000008
106,400,4000,8000,0,1,1,32,63.202007785283456,46.42499660753732,32.0,33.22000000000001
107,900,1000,1000,0,1,2,11,-17.889114337545017,13.328093389935974,11.0,10.945000000000004
108,900,512,1000,0,1,2,11,-25.231960962410714,9.912505388616044,11.0,10.620000000000005
109,900,1000,4000,4,1,2,18,0.5632444745436539,21.155235070039517,18.0,26.71999999999997
110,900,1000,4000,8,1,2,22,2.979024576924316,23.715063120365823,22.0,22.44999999999999
111,900,2000,4000,0,3,6,37,18.303017018058153,34.06578513296212,30.999999999999996,30.32623809523809
112,225,2000,4000,8,3,6,40,23.134577222819484,39.185441233614725,37.0,35.987904761904765
113,225,2000,4000,8,3,6,34,23.134577222819484,39.185441233614725,37.0,35.987904761904765
114,180,2000,8000,8,1,6,50,45.27999476085782,38.50115359291038,53.0,53.56600000000002
115,185,2000,16000,16,1,6,76,92.87576485817384,57.66697937296897,71.0,69.72500000000002
116,180,2000,16000,16,1,6,66,92.87576485817384,57.66697937296897,71.0,69.72500000000002
117,225,1000,4000,2,3,6,24,4.464090215015511,28.34654341771558,24.0,26.317000000000032
118,25,2000,12000,8,1,4,49,63.72607551542354,45.142313486397434,49.0,62.219999999999935
119,25,2000,12000,16,3,5,66,69.2623352242797,58.16030454056534,66.0,61.770000000000024
120,17,4000,16000,8,6,12,100,125.03762945761073,86.9598407928019,100.0,99.79916666666674
121,17,4000,16000,32,6,12,133,139.5323100718947,102.31880909475973,133.0,126.22
122,1500,768,1000,0,0,0,12,-23.934343743558166,7.4686780717413175,12.0,11.580000000000005
123,1500,768,2000,0,0,0,18,-18.58881750698883,9.224449281667065,19.000000000000004,20.335000000000004
124,800,768,2000,0,0,0,20,-18.58881750698883,9.224449281667065,19.000000000000004,20.335000000000004
125,50,2000,4000,0,3,6,27,18.303017018058153,34.06578513296212,30.999999999999996,30.32623809523809
126,50,2000,8000,8,3,6,45,44.51668216909682,46.20852607331772,45.0,47.53500000000004
127,50,2000,8000,8,1,6,56,45.27999476085782,38.50115359291038,53.0,53.56600000000002
128,50,2000,16000,24,1,6,70,97.70732506293515,62.786635473621565,75.0,71.64500000000002
129,50,2000,16000,24,1,6,80,97.70732506293515,62.786635473621565,75.0,71.64500000000002
130,50,8000,16000,48,1,10,136,208.3549551860402,120.90438811046943,136.0,129.98999999999987
131,100,1000,8000,0,2,6,16,25.019961405983018,30.236027992051746,15.999999999999998,24.660000000000007
132,100,1000,8000,24,2,6,26,39.51464202026701,45.59499629400957,26.0,32.10166666666668
133,100,1000,8000,24,3,6,32,39.1329857243865,49.44868253421324,32.0,35.451666666666696
134,50,2000,16000,12,3,16,45,104.37679312259016,64.7241485341297,45.0,50.8976666666667
135,50,2000,16000,24,6,16,54,110.47916454209064,83.96469140571959,59.49999999999999,66.63700000000004
136,50,2000,16000,24,6,16,65,110.47916454209064,83.96469140571959,59.49999999999999,66.63700000000004
137,150,512,4000,0,8,128,30,173.10254775396444,66.21689431142303,30.0,39.47333333333331
138,115,2000,8000,16,1,3,50,45.70751867805175,43.04792227423908,50.0,60.143333333333274
139,115,2000,4000,2,1,5,40,18.806207565153684,27.447364204609965,40.0,36.06199999999999
140,92,2000,8000,32,1,6,62,59.774675375141804,53.8601218948682,61.0,63.174999999999976
141,92,2000,8000,32,1,6,60,59.774675375141804,53.8601218948682,61.0,63.174999999999976
142,92,2000,8000,4,1,6,50,42.86421465847716,35.94132554258408,50.0,48.754999999999974
143,75,4000,16000,16,1,6,66,122.96939856663975,71.66529085378835,66.0,70.92333333333336
144,60,4000,16000,32,1,6,86,132.63251897616243,81.90460305509357,86.0,95.44833333333337
145,60,2000,16000,64,5,8,74,123.27452509493139,104.18158588391522,74.0,84.85499999999995
146,60,4000,16000,64,5,8,93,153.36815880339734,118.17989736473459,93.0,98.60999999999989
147,50,4000,16000,64,5,10,111,156.30418299510893,118.56182231095052,111.0,111.45999999999992
148,72,4000,16000,64,8,16,143,163.96728668260224,131.26865587020936,143.0,155.34500000000006
149,72,2000,8000,16,6,8,105,51.13929767792825,63.27116584079727,105.0,84.02000000000005
150,40,8000,16000,32,8,16,214,204.8283132804888,138.7866544292377,173.0,171.06299999999993
151,40,8000,32000,64,8,24,277,321.4270706514899,188.88531797552386,324.33333333333337,325.021761904762
152,35,8000,32000,64,8,24,370,321.4270706514899,188.88531797552386,324.33333333333337,325.021761904762
153,38,16000,32000,128,16,32,510,489.1449335232467,318.19300241051536,510.0,481.84823809523783
154,48,4000,24000,32,8,24,214,199.14935252295797,126.36390093186864,214.0,194.45499999999998
155,38,8000,32000,64,8,24,326,321.4270706514899,188.88531797552386,324.33333333333337,325.021761904762
156,30,16000,32000,256,16,24,510,554.7058000325817,398.5798002360933,510.0,502.26366666666627
157,112,1000,1000,0,1,4,8,-14.95309014583342,13.710018336151911,8.0,9.895000000000003
158,84,1000,2000,0,1,6,12,-6.671539717552487,15.847714492293594,12.0,16.01749999999999
159,56,1000,4000,0,1,6,17,4.019512755586179,19.35925691214509,17.0,20.92604761904761
160,56,2000,6000,0,1,8,21,32.69340627466941,30.25188001862221,21.0,24.18300000000001
161,56,2000,8000,0,1,8,24,43.38445874780809,33.763422438473704,24.0,30.240000000000045
162,56,4000,8000,0,1,8,34,73.47809245627404,47.7617339192931,34.0,34.850000000000016
163,56,4000,12000,0,1,8,42,94.86019740255136,54.78481875899608,42.0,44.46000000000007
164,56,4000,16000,0,1,8,46,116.24230234882872,61.807903598699085,46.0,50.86000000000004
165,38,4000,8000,32,16,32,51,122.31177913765099,130.62875127954982,83.49999999999999,87.91249999999992
166,38,4000,8000,32,16,32,116,122.31177913765099,130.62875127954982,83.49999999999999,87.91249999999992
167,38,8000,16000,64,4,8,100,213.93708251620976,142.3228340861697,100.0,109.72000000000003
168,38,8000,24000,160,4,8,140,314.6800148659004,217.80487697340695,140.0,172.56599999999992
169,38,4000,16000,128,16,32,212,223.05471148734162,206.110794166787,212.0,215.19999999999996
170,200,1000,2000,0,1,2,25,-12.543588100975683,15.08386459986172,20.5,20.300999999999995
171,200,1000,4000,0,1,4,30,1.0834885638745813,18.977331965929153,30.0,27.698333333333355
172,200,2000,8000,64,1,5,41,77.63290409833134,74.14778382437066,41.0,59.37333333333332
173,250,512,4000,0,1,7,25,-1.8553217734237117,16.134631383933126,25.0,26.090000000000003
174,250,512,4000,0,4,7,50,-3.00029066106522,27.695690104544134,50.0,40.94200000000001
175,250,1000,16000,1,1,8,50,71.70579681172495,41.45039339005157,50.0,57.72333333333329
176,160,512,4000,2,1,5,30,-3.583455913944974,17.032620462880338,30.0,32.36166666666668
177,160,512,2000,2,3,8,32,-10.633784691277254,21.80133794276009,32.0,31.95
178,160,1000,4000,8,1,14,38,20.595169727193902,26.006612797661447,38.0,34.41771428571427
179,160,1000,8000,16,1,14,60,46.808834878232574,38.14935373801705,60.0,60.19333333333334
180,160,2000,8000,32,1,13,109,70.05076004613241,55.196859206623984,108.99999999999999,92.37966666666667
181,240,512,1000,8,1,3,6,-18.932388661793585,15.223123962376615,6.0,12.229999999999997
182,240,512,2000,8,1,5,11,-10.650838233512648,17.3608201185183,11.0,17.740000000000006
183,105,2000,4000,8,3,8,22,26.070601414531083,39.567366179830664,22.0,27.228333333333314
184,105,2000,6000,16,6,16,33,52.19234197163596,61.28732320580952,33.0,46.275000000000055
185,105,2000,8000,16,4,14,58,60.710682844824056,56.70956819903775,58.0,59.76750000000002
186,52,4000,16000,32,4,12,130,140.29562266365573,94.61143661435237,130.0,123.67999999999999
187,70,4000,12000,8,6,8,75,97.78347612791019,79.17290606066705,75.0,80.71999999999996
188,59,4000,12000,32,6,12,113,118.15020512561738,95.29572425505673,113.0,106.50333333333322
189,59,8000,16000,64,12,24,188,234.3720256828585,176.20772357752656,187.99999999999997,183.09466666666643
190,26,8000,24000,32,8,16,173,247.59252317304345,152.83282410864365,173.0,182.44950000000023
191,26,8000,32000,64,12,16,248,308.1563487011215,202.77236315147474,247.99999999999997,273.1977619047615
192,26,8000,32000,128,24,32,405,365.7171483223389,293.02924640886715,405.0,374.05923809523796
193,116,2000,8000,32,5,28,70,90.54431630044739,73.4760412640582,70.0,78.59166666666664
194,50,2000,32000,24,6,26,114,210.68770528575797,113.96665549561125,114.0,125.56133333333342
195,50,2000,32000,48,26,52,208,255.71757447468264,211.36437290244962,208.0,216.82995238095242
196,50,2000,32000,112,52,104,307,360.78362140438185,362.4475125545802,307.0,333.5299999999996
197,50,4000,32000,112,52,104,397,390.8772551128478,376.44582403539965,397.0,372.55999999999983
198,30,8000,64000,96,12,176,915,733.4213644273133,309.9896619689841,915.0,847.0279999999993
199,30,8000,64000,128,12,176,1150,752.7476052463586,330.46828637159456,1150.0,971.4779999999996
200,180,262,4000,0,1,3,12,-11.489074370405154,13.62099255639883,15.0,15.931285714285721
201,180,512,4000,0,1,3,14,-7.727370156846907,15.370781491501253,17.5,18.736452380952382
202,180,262,4000,0,1,3,18,-11.489074370405154,13.62099255639883,15.0,15.931285714285721
203,180,512,4000,0,1,3,21,-7.727370156846907,15.370781491501253,17.5,18.736452380952382
204,124,1000,8000,0,1,8,42,28.337641893575114,26.764266698064016,42.0,35.64000000000004
205,98,1000,8000,32,2,8,46,47.28222641673994,51.09657734087811,46.0,61.71333333333336
206,125,2000,8000,0,2,14,52,51.81087502706238,38.76288351732519,52.0,43.129999999999974
207,480,512,8000,32,0,0,67,28.958595616788855,38.445917074287095,67.0,66.79333333333335
208,480,1000,4000,0,0,0,45,-4.406903523668109,14.359795833293612,45.0,37.70500000000003
